operation,operationLabel,backend,pushes,cacheState,maintenanceMode,scoreMillis,scoreErrorMillis,p50Millis,p95Millis,p99Millis,activePacks,packPayloadBytes,packIndexBytes,smallPacks,smallPackRatioBasisPoints,storedExtensionBytes,unreachableLogicalBytes,maintenanceElapsedMillis,maintenanceStoredByteDelta,maintenancePackReduction,jgitDfsMidxExtensionAvailable,jdkVersion,jmhMode,latencySavingMillis,latencySavingPercent,breakEvenReads,beneficial
readAllRefs,Read all refs,hsqldb,10,cold,read-optimized,0.0003989550408259665,5.781366745851712e-05,0.00035099999999999997,0.00041,0.000611,2,95258,3012,2,10000,100661,8449,78.0,-6608,8,True,21.0.12.1,sample,2.356683556494301e-06,0.5872451297356861,33097359,True
reopenAndLookupOldest,Reopen and oldest-object lookup,hsqldb,10,cold,none,2.476174725663716,0.17188402621118648,2.1995519999999997,4.675584,10.909286400000001,10,95514,11588,10,10000,107269,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
reopenAndLookupOldest,Reopen and oldest-object lookup,hsqldb,10,cold,compact-only,0.8324889801423762,0.0439367728525552,0.730112,1.4172159999999998,1.9476479999999998,2,95258,3012,2,10000,98409,8449,55.0,-8860,8,True,21.0.12.1,sample,1.6436857455213398,66.38003887551857,34,True
reopenAndLookupOldest,Reopen and oldest-object lookup,hsqldb,10,cold,read-optimized,0.7770018616352193,0.042892393045138526,0.683008,1.380352,1.9320217599999996,2,95258,3012,2,10000,100661,8449,79.0,-6608,8,True,21.0.12.1,sample,1.6991728640284967,68.62087906874378,47,True
revisionWalk,Revision walk,hsqldb,10,cold,none,0.02212394333724977,0.0004804965770738592,0.02112,0.029439999999999997,0.034752,10,95514,11588,10,10000,107269,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
revisionWalk,Revision walk,hsqldb,10,cold,compact-only,0.021540949683690143,0.0006501680226515049,0.020672,0.022273600000000095,0.032192,2,95258,3012,2,10000,98409,8449,52.0,-8860,8,True,21.0.12.1,sample,0.000582993653559627,2.6351254144556084,89195,True
revisionWalk,Revision walk,hsqldb,10,cold,read-optimized,0.020544546088526048,0.0006732202868275209,0.019712,0.020607999999999998,0.029408,2,95258,3012,2,10000,100661,8449,73.0,-6608,8,True,21.0.12.1,sample,0.001579397248723722,7.138859581440498,46221,True
cloneStyleTraversal,Clone-style traversal,hsqldb,10,warm,none,0.07879280989876257,0.0021082663168140114,0.07500799999999999,0.0896,0.1088,10,95514,11588,10,10000,107269,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
cloneStyleTraversal,Clone-style traversal,hsqldb,10,warm,compact-only,0.07601768137071223,0.0020764279794966613,0.07168,0.08768,0.101632,2,95258,3012,2,10000,98409,8449,61.0,-8860,8,True,21.0.12.1,sample,0.0027751285280503413,3.5220580807004884,21981,True
cloneStyleTraversal,Clone-style traversal,hsqldb,10,warm,read-optimized,0.07217271613007603,0.00185965320773226,0.068096,0.07961599999999999,0.09894399999999999,2,95258,3012,2,10000,100661,8449,90.0,-6608,8,True,21.0.12.1,sample,0.0066200937686865385,8.401900855157225,13595,True
incrementalFetchTraversal,Incremental-fetch traversal,hsqldb,10,warm,none,0.07426430159099205,0.0020530222445311924,0.070656,0.08063999999999999,0.096384,10,95514,11588,10,10000,107269,8449,0.0,0,0,True,21.0.12.1,sample,0.0,0.0,,False
incrementalFetchTraversal,Incremental-fetch traversal,hsqldb,10,warm,compact-only,0.07971465628904997,0.0020993585348975698,0.07731199999999999,0.092288,0.11148799999999999,2,95258,3012,2,10000,98409,8449,71.0,-8860,8,True,21.0.12.1,sample,-0.0054503546980579215,-7.339131428281051,,False
